Prscrbr_Geo_Desc,Gnrc_Name,Tot_Clms
National,"Pen Needle, Diabetic",4457
National,"Pen Needle, Diabetic",8405
National,Abacavir Sulfate,37326
National,Abacavir Sulfate/Lamivudine,37758
National,Abacavir/Lamivudine/Zidovudine,1585
National,Amphotericin B Lipid Complex,826
National,Aripiprazole,17672
National,Aripiprazole,203157
National,Aripiprazole,47
National,Abiraterone Acetate,152062
National,Paclitaxel Protein-Bound,1286
National,Isotretinoin,126
National,"Isotretinoin, Micronized",15
National,Acamprosate Calcium,40116
National,Clindamycin Phos/Benzoyl Perox,60
National,Acarbose,188121
National,Zafirlukast,635
National,Quinapril Hcl,5639
National,Quinapril/Hydrochlorothiazide,643
National,Acebutolol Hcl,93261
National,Acetaminophen/Caff/Dihydrocod,2562
National,Acetaminophen With Codeine,2974447
National,Acetazolamide,200844
National,Acetazolamide,78696
National,Acetazolamide Sodium,48
National,Acetic Acid,59515
National,Acetylcysteine,20897
National,Rabeprazole Sodium,13926
National,Acitretin,43893
National,Tocilizumab,32900
National,Tocilizumab,14199
National,Corticotropin,9857
National,Haemoph B Poly Conj-Tet Tox/Pf,1150
National,Ursodiol,505
National,"Interferon Gamma-1b,recomb.",417
National,Fentanyl Citrate,34
National,Estradiol/Norethindrone Acet,282
National,Risedronate Sodium,3568
National,Pioglitazone Hcl/Metformin Hcl,364
National,Pioglitazone Hcl,2035
National,Ketorolac Tromethamine,353
National,Ketorolac Tromethamine,124
National,Ketorolac Tromethamine/Pf,392
National,Acyclovir,1874396
National,Acyclovir Sodium,268
National,Dapsone,536
National,"Diph,pertuss(Acell),tet Vac/Pf",171749
National,Crizanlizumab-Tmca,449
National,Adapalene,12806
National,Adapalene/Benzoyl Peroxide,1394
National,Brentuximab Vedotin,44
National,Tadalafil,12361
National,Dextroamphetamine/Amphetamine,10243
National,Dextroamphetamine/Amphetamine,40367
National,Adefovir Dipivoxil,4425
National,Riociguat,41604
National,Lixisenatide,71
National,Insulin Lispro,16799
National,Insulin Lispro,26837
National,Epinephrine,468
National,Doxorubicin Hcl,51
National,Fluorouracil,19
National,Fluticasone Propion/Salmeterol,2173808
National,Fluticasone Propion/Salmeterol,545329
National,"Pen Needle, Diabetic",2242
National,"Pen Needle, Diabetic",30624
National,"Syring-Needl,disp,insul,0.3 Ml",2586
National,"Syringe And Needle,insulin,1ml",5720
National,"Syringe-Needle,insulin,0.5 Ml",6601
National,Amphetamine,1073
National,Rifamycin Sodium,51
National,Everolimus,18337
National,Everolimus,381
National,Levonorgestrel/Ethin.Estradiol,16
National,"Insulin Regular, Human",5432
National,Aspirin/Dipyridamole,4721
National,Anagrelide Hcl,2376
National,Erenumab-Aooe,284990
National,Erenumab-Aooe,115
National,Fluticasone Propion/Salmeterol,39
National,Fluticasone Propion/Salmeterol,752
National,Fremanezumab-Vfrm,6840
National,Fremanezumab-Vfrm,45075
National,Bacitracin/Polymyxin B Sulfate,992
National,Trifarotene,87
National,Lidocaine Hcl/Pf,48
National,Fosnetupitant/Palonosetron,425
National,Netupitant/Palonosetron Hcl,359
National,Hydrocortisone,502
National,Hydrocortisone,313
National,Albendazole,7498
National,Albendazole,23
National,Albumin Human,39
National,Albumin Human,64
National,Albuterol Sulfate,328593
National,Albuterol Sulfate,8911560
National,Proparacaine Hcl,15
National,Alclometasone Dipropionate,58114
National,Alcohol Antiseptic Pads,231490
National,Alcohol Antiseptic Pads,678346
National,Alcohol Antiseptic Pads,38362
National,Alcohol Antiseptic Pads,106257
National,Alcohol Antiseptic Pads,9014
National,Spironolact/Hydrochlorothiazid,975
National,Spironolactone,2084
National,Imiquimod,59
National,Laronidase,126
National,Alectinib Hcl,7242
National,Alendronate Sodium,7375699
National,Alfuzosin Hcl,764495
National,Pemetrexed Disodium,1627
National,Nitazoxanide,3985
National,Aliskiren Hemifumarate,41031
National,Allopurinol,9155188
National,Butalbital/Acetaminophen,125
National,Almotriptan Malate,5786
National,Nedocromil Sodium,1078
National,Alogliptin Benzoate,69666
National,Alogliptin Benz/Metformin Hcl,3977
National,Alogliptin Benz/Pioglitazone,3158
National,Lodoxamide Tromethamine,486
National,Estradiol,1630
National,Alosetron Hcl,11171
National,Palonosetron Hcl,145
National,Brimonidine Tartrate,640053
National,Alprazolam,12462671
National,Alprazolam,41760
National,Alprazolam,352
National,Alprazolam,7084
National,Alprazolam,24581
National,Loteprednol Etabonate,30392
National,Retapamulin,169
National,Ramipril,7992
National,Levonorgestrel/Ethin.Estradiol,1108
National,Lovastatin,1258
National,Tretinoin,552
National,Brigatinib,939
National,Ciclesonide,219108
National,Norethindrone-Ethin. Estradiol,6063
National,Tadalafil,15341
National,Estradiol/Norethindrone Acet,3563
National,Amantadine Hcl,492374
National,Glimepiride,3261
National,Zolpidem Tartrate,18934
National,Zolpidem Tartrate,11069
National,Amphotericin B Liposome,652
National,Ambrisentan,52010
National,Amcinonide,507
National,Naratriptan Hcl,573
National,L-Norgest/E.Estradiol-E.Estrad,433
National,L-Norgest/E.Estradiol-E.Estrad,38
National,Levonorgestrel/Ethin.Estradiol,694
National,Aminocaproic Acid,346
National,Amikacin Sulfate,11600
National,Amiloride Hcl,102779
National,Amiloride/Hydrochlorothiazide,50292
National,Aminocaproic Acid,2119
National,Parenteral Amino Acid 15% No.2,14
National,Amiodarone Hcl,2555738
National,Lubiprostone,660102
National,Amitriptyline Hcl,3754496
National,Amlodipine Besylate,43329425
National,Amlodipine Besylate/Benazepril,1728077
National,Amlodipine/Atorvastatin,97019
National,Amlodipine Bes/Olmesartan Med,204279
National,Amlodipine Besylate/Valsartan,262316
National,Amlodipine/Valsartan/Hcthiazid,61128
National,Ammonium Lactate,990328
National,Isotretinoin,1665
National,Amoxapine,2934
National,Amoxicillin,6925999
National,Amoxicillin/Potassium Clav,14491
National,Amoxicillin/Potassium Clav,4577691
National,Amphetamine Sulfate,540
National,Amphotericin B,467
National,Ampicillin Sodium,18649
National,Ampicillin Trihydrate,103530
National,Ampicillin Sodium/Sulbactam Na,15060
National,Dalfampridine,17842
National,Cyclobenzaprine Hcl,657
National,Minocycline Hcl,489
National,Oxymetholone,139
National,Clomipramine Hcl,416
National,Anagrelide Hcl,26181
National,Hydrocortisone/Pramoxine,64
National,Hyoscyamine Sulfate,162
National,Anastrozole,1538852
National,Testosterone,25797
National,Testosterone,14531
National,Drospirenone/Estradiol,985
National,Segesterone Ac/Ethin Estradiol,28
National,Umeclidinium Brm/Vilanterol Tr,1829945
National,Disulfiram,43
National,"Fenofibrate,micronized",1003
National,Hydrocortisone Acetate,30
National,Hydrocortisone,234
National,Diflorasone Diacetate/Emoll,303
National,Insulin Glulisine,4628
National,Insulin Glulisine,13366
National,Bupropion Hbr,3409
National,Apomorphine Hcl,4543
National,Apraclonidine Hcl,4223
National,Aprepitant,8432
National,Desogestrel-Ethinyl Estradiol,7543
National,Mesalamine,43642
National,Methylphenidate Hcl,582
National,Eslicarbazepine Acetate,89665
National,Tipranavir,1010
National,Alpha-1-Proteinase Inhibitor,3941
National,Norethindrone-Ethin. Estradiol,718
National,Darbepoetin Alfa In Polysorbat,25042
National,Leflunomide,476
National,Tazarotene,44
National,Rilonacept,102
National,Indacaterol Maleate,708
National,Minocycline Hcl Microspheres,1286
National,Donepezil Hcl,3236
National,Amikacin Liposomal/Neb.Accessr,8172
National,Anastrozole,2191
National,Aripiprazole,3308126
National,Aripiprazole,5632
National,Aripiprazole Lauroxil,76118
National,"Aripiprazole Lauroxil,submicr.",1162
National,Fondaparinux Sodium,143
National,Armodafinil,105948
National,"Thyroid,pork",277329
National,Fluticasone Furoate,301398
National,Exemestane,1361
National,Diclofenac Sodium/Misoprostol,439
National,Diclofenac Sodium/Misoprostol,1481
National,Ofatumumab,19
National,Codeine/Butalbital/Asa/Caffein,11330
National,Mesalamine,7265
National,Codeine/Butalbital/Asa/Caffein,14213
National,Asenapine Maleate,333
National,L-Norgest/E.Estradiol-E.Estrad,2202
National,Mometasone Furoate,61831
National,Mometasone Furoate,36137
National,Aspirin/Dipyridamole,208731
National,"Syringe,needle,insuln,safe,1ml",32
National,"Syringe,needle,insuln,sf 0.5ml",81
National,"Pen Needle, Diabetic, Safety",232
National,Tacrolimus,652
National,Candesartan Cilexetil,5798
National,Candesartan/Hydrochlorothiazid,1955
National,Atazanavir Sulfate,29340
National,Risedronate Sodium,1481
National,Atenolol,8097243
National,Atenolol/Chlorthalidone,465411
National,Lorazepam,7112
National,Atomoxetine Hcl,196236
National,Atorvastatin Calcium,58185117
National,Atovaquone,58192
National,Atovaquone/Proguanil Hcl,17484
National,Tretinoin,51
National,Efavirenz/Emtricit/Tenofovr Df,43462
National,Atropine Sulfate,153305
National,Ipratropium Bromide,254528
National,Teriflunomide,78591
National,Levonorgestrel/Ethin.Estradiol,224
National,Amoxicillin/Potassium Clav,67
National,Norethindrone Ac-Eth Estradiol,208
National,Norethindrone-E.Estradiol-Iron,311
National,Norethindrone-E.Estradiol-Iron,3841
National,Ferric Citrate,136870
National,Deutetrabenazine,93443
National,"Pen Needle,dual Safety,diabetc",224592
National,"Pen Needle, Diabetic, Safety",59
National,Epinephrine,509
National,Irbesartan/Hydrochlorothiazide,3075
National,Rosiglitazone Maleate,1951
National,Irbesartan,9805
National,Bevacizumab,3641
National,Testosterone Undecanoate,664
National,Levonorgestrel/Ethin.Estradiol,4130
National,Tretinoin,60
National,Dutasteride,9519
National,Interferon Beta-1a,29619
National,Interferon Beta-1a,36438
National,Ceftazidime/Avibactam,1601
National,Norethindrone Acetate,36
National,Levonorgestrel/Ethin.Estradiol,12
National,Avapritinib,181
National,Azacitidine,1073
National,Aztreonam,794
National,Azathioprine,2411
National,Azithromycin,17319
National,Azathioprine,422532
National,Azelaic Acid,43151
National,Azelastine Hcl,2084189
National,Azelastine/Fluticasone,59923
National,Azelaic Acid,2043
National,Pnv No.165/Iron Fum/Folic Acid,13
National,Prenatal 147/Iron/Folic Acid,1925
National,Rasagiline Mesylate,3009
National,Azithromycin,6349716
National,Brinzolamide,332764
National,Amlodipine Bes/Olmesartan Med,8017
National,Aztreonam,4601
National,Sulfasalazine,1035
National,Desog-E.Estradiol/E.Estradiol,714
National,Alcohol Antiseptic Pads,2610
National,Bacitracin,54393
National,Bacitracin/Polymyxin B Sulfate,36068
National,Baclofen,4794563
National,Sulfamethoxazole/Trimethoprim,17
National,Sulfamethoxazole/Trimethoprim,324
National,Mupirocin Calcium,12
National,Levonorgest/Eth.Estradiol/Iron,43
National,Balsalazide Disodium,124375
National,Erdafitinib,888
National,Norethindrone-Ethin. Estradiol,1529
National,Gauze Bandage,608
National,Rufinamide,31077
National,Glucagon,17731
National,Entecavir,2201
National,"Insulin Glargine,hum.Rec.Anlog",1781164
National,Avelumab,60
National,Delafloxacin Meglumine,1055
National,Bcg Live,630
National,"Syringe And Needle,insulin,1ml",37
National,"Syringe-Needle,insulin,0.5 Ml",49
National,"Syring-Needl,disp,insul,0.3 Ml",585
National,"Syringe And Needle,insulin,1ml",681
National,"Syringe-Needle,insulin,0.5 Ml",1558
National,"Syring-Needl,disp,insul,0.3 Ml",154
National,"Syringe-Needle,insulin,0.5 Ml",454
National,Beclomethasone Dipropionate,4581
National,Desog-E.Estradiol/E.Estradiol,22
National,Buprenorphine Hcl,176625
National,Opium/Belladonna Alkaloids,718
National,Suvorexant,253494
National,Benazepril Hcl,2580184
National,Benazepril/Hydrochlorothiazide,316826
National,Bendamustine Hcl,324
National,Olmesartan Medoxomil,38895
National,Olmesartan/Hydrochlorothiazide,22626
National,Belimumab,24326
National,Salicylic Acid,105
National,Dicyclomine Hcl,49
National,Clindamycin Phos/Benzoyl Perox,124
National,Erythromycin/Benzoyl Peroxide,26
National,Benzonatate,46578
National,Benztropine Mesylate,2204932
National,Brolucizumab-Dbll,276
National,Bepotastine Besilate,55139
National,C1 Esterase Inhibitor,421
National,Besifloxacin Hcl,96462
National,Povidone-Iodine,47
National,Betamethasone Dipropionate,8355
National,Betamethasone/Propylene Glyc,442231
National,Betamethasone Dipropionate,750147
National,"Betamethasone Acetate,sod Phos",337
National,Betamethasone Valerate,261492
National,Sotalol Hcl,487
National,Sotalol Hcl,318
National,Interferon Beta-1b,18758
National,Betaxolol Hcl,32637
National,Bethanechol Chloride,219291
National,Tobramycin,53
National,Timolol,30027
National,Betaxolol Hcl,14236
National,Glycopyrrolate/Formoterol Fum,156746
National,Betrixaban Maleate,13
National,Bexarotene,3959
National,"Meningococcal B Vaccine,4-Comp",2199
National,Drospir/Eth Estra/Levomefol Ca,94
National,Bicalutamide,275904
National,Pen G Benz/Pen G Procaine,127
National,Penicillin G Benzathine,4854
National,Isosorbide Dinit/Hydralazine,45588
National,Estradiol/Progesterone,796
National,Bictegrav/Emtricit/Tenofov Ala,500314
National,Bimatoprost,27833
National,Alendronate Sodium,3224
National,Bisoprolol Fumarate,850176
National,Bisoprolol/Hydrochlorothiazide,685581
National,Immun Glob G(Igg)/Gly/Iga Ov50,194
National,Bleomycin Sulfate,28
National,Sulfacetamide Sodium,67
National,Sulfacetamide/Prednisolone,1796
National,Sulfacetamide/Prednisolone,33
National,Blinatumomab,48
National,Norethindrone-E.Estradiol-Iron,1289
National,Norethindrone-E.Estradiol-Iron,8856
National,Ibandronate Sodium,1444
National,Doxylamine Succinate/Vit B6,57
National,"Diphth,pertuss(Acell),tet Vac",515843
National,Bortezomib,410
National,Bosentan,9961
National,Bosutinib,9620
National,Onabotulinumtoxina,44953
National,Encorafenib,4950
National,Fluticasone/Vilanterol,3234442
National,Budesonide/Glycopyr/Formoterol,6418
National,Norethindrone-Ethin. Estradiol,662
National,Ticagrelor,1017004
National,Brimonidine Tartrate,1768693
National,Paroxetine Mesylate,422
National,Brivaracetam,69910
National,Bromfenac Sodium,20906
National,Bromocriptine Mesylate,44425
National,Brompheniramine/Pseudoephed/Dm,357
National,Bromfenac Sodium,35259
National,Arformoterol Tartrate,17496
National,Zanubrutinib,990
National,Halobetasol Propionate,1029
National,Balanced Salt Irrig Soln No.2,207
National,Budesonide,176548
National,Budesonide,294626
National,Budesonide,18753
National,Budesonide/Formoterol Fumarate,447374
National,Bumetanide,1975720
National,Buprenorphine Hcl/Naloxone Hcl,607
National,Butalbital/Acetaminophen,50
National,Sodium Phenylbutyrate,160
National,Bupivacaine Hcl,207
National,Bupivacaine Hcl/Pf,582
National,Buprenorphine Hcl,273
National,Buprenorphine,210319
National,Buprenorphine Hcl,254608
National,Buprenorphine Hcl/Naloxone Hcl,1160310
National,Bupropion Hcl,672454
National,Bupropion Hcl,2337970
National,Bupropion Hcl,5028295
National,Buspirone Hcl,5612185
National,Butalbit/Acetamin/Caff/Codeine,47260
National,Codeine/Butalbital/Asa/Caffein,5510
National,Butalbital/Acetaminophen,17237
National,Butalb/Acetaminophen/Caffeine,804252
National,Butalbital/Aspirin/Caffeine,67248
National,Butorphanol Tartrate,34356
National,Buprenorphine,59797
National,Exenatide Microspheres,131
National,Exenatide Microspheres,245720
National,Exenatide Microspheres,229023
National,Exenatide,39793
National,Octreotide Acetate,199
National,Nebivolol Hcl,1624018
National,Pnv 11/Iron Fum/Folic Acid/Om3,124
National,Cabergoline,73627
National,Caplacizumab-Yhdp,65
National,Cabozantinib S-Malate,18522
National,Amlodipine/Atorvastatin,2700
National,Ergotamine Tartrate/Caffeine,63
National,Verapamil Hcl,12
National,Verapamil Hcl,1859
National,Calcipotriene,163779
National,Calcipotriene/Betamethasone,2102
National,Calcipotriene/Betamethasone,8402
National,"Calcitonin,salmon,synthetic",201583
National,Calcitriol,1187588
National,Calcium Carbonate/Vitamin D3,17
National,Calcium Acetate,484714
National,Calcium Gluconate,463
National,Acalabrutinib,25663
National,Diclofenac Potassium,6570
National,Norethindrone,2390
National,Irinotecan Hcl,25
National,L-Norgest/E.Estradiol-E.Estrad,1233
National,L-Norgest/E.Estradiol-E.Estrad,556
National,Mesalamine,6735
National,Caspofungin Acetate,52
National,Candesartan Cilexetil,500016
National,Candesartan/Hydrochlorothiazid,148133
National,Capecitabine,235
National,Fluocinolone Acetonide,167
National,Lumateperone Tosylate,9418
National,Vandetanib,745
National,Captopril,118963
National,Captopril/Hydrochlorothiazide,621
National,Fluorouracil,58
National,Sucralfate,80018
National,Carglumic Acid,33
National,Carbamazepine,951047
National,Carbamazepine,528569
National,Carbamazepine,15863
National,Carbidopa,17057
National,Carbidopa/Levodopa,2729722
National,Carbidopa/Levodopa,539116
National,Carbidopa/Levodopa/Entacapone,76828
National,Carbinoxamine Maleate,2517
National,Carboplatin,2576
National,Diltiazem Hcl,360
National,Diltiazem Hcl,1597
National,Diltiazem Hcl,20514
National,Doxazosin Mesylate,3034
National,Doxazosin Mesylate,2681
National,"Pen Needle, Diabetic",1773
National,Alcohol Antiseptic Pads,230
National,"Pen Needle, Diabetic",54
National,Carisoprodol,422543
National,Carisoprodol/Aspirin/Codeine,61
National,Levocarnitine,2006
National,Levocarnitine (With Sugar),190
National,Levocarnitine,99
National,Spironolactone,451
National,Carteolol Hcl,24543
National,Diltiazem Hcl,946877
National,Carvedilol,14918253
National,Carvedilol Phosphate,77944
National,Bicalutamide,192
National,Caspofungin Acetate,2675
National,Clonidine Hcl,1205
National,Clonidine,818
National,Clonidine,1392
National,Clonidine,2005
National,Aztreonam Lysine,3585
National,Desogestrel-Ethinyl Estradiol,25
National,Cefaclor,10306
National,Cefaclor,112
National,Cefadroxil,245431
National,Cefazolin Sodium,64523
National,"Cefazolin Sodium/Dextrose,iso",2215
National,Cefdinir,1386838
National,Cefepime In Iso-Osm Dextrose,4444
National,Cefepime Hcl,83622
National,Cefepime Hcl In Dextrose 5 %,1770
National,Cefixime,10562
National,Cefotetan Disodium,104
National,Cefoxitin Sodium,1825
National,"Cefoxitin Sodium/Dextrose,iso",59
National,Cefpodoxime Proxetil,219874
National,Cefprozil,28289
National,Ceftazidime,12212
National,Ceftazidime In Dextrose5%water,112
National,Ceftriaxone In Is-Osm Dextrose,10683
National,Ceftriaxone Sodium,331859
National,Cefuroxime Axetil,936703
National,Cefuroxime Sodium,167
National,Celecoxib,29212
National,Celecoxib,3691224
National,"Betamethasone Acetate,sod Phos",40
National,Citalopram Hydrobromide,6222
National,Mycophenolate Mofetil,3830
National,Methsuximide,2757
National,Mupirocin,26
National,"Iron Fum/Folic Acid/Mv,min 15",21
National,Cephalexin,6149121
National,"Protein C, Human",16
National,Cyclosporine,24557
National,Eliglustat Tartrate,1016
National,Fosphenytoin Sodium,40
National,Imiglucerase,459
National,Cetirizine Hcl,22412
National,Cevimeline Hcl,87076
National,Varenicline Tartrate,592778
National,Norethindrone-E.Estradiol-Iron,55
National,Levonorgestrel/Ethin.Estradiol,12
National,Levonorgestrel/Ethin.Estradiol,24
National,Succimer,98
National,Chenodiol,399
National,Chlordiazepoxide Hcl,117633
National,Amitriptyline/Chlordiazepoxide,4719
National,Chlordiazepoxide/Clidinium Br,11952
National,Chlorhexidine Gluconate,1942507
National,Chloroquine Phosphate,5211
National,Chlorothiazide,1533
National,Chlorpromazine Hcl,270498
National,Chlorthalidone,2491175
National,Chlorzoxazone,72832
National,Cholic Acid,38
National,Cholestyramine (With Sugar),446990
National,Cholestyramine/Aspartame,104892
National,"Chorionic Gonadotropin, Human",681
National,Tadalafil,21306
National,Ciclopirox,104
National,Ciclopirox,519114
National,Ciclopirox Olamine,361056
National,Cidofovir,139
National,Cilostazol,840746
National,Ciprofloxacin Hcl,6281
National,Lamivudine/Tenofovir Disop Fum,213
National,Cimetidine,189008
National,Cimetidine Hcl,1715
National,Certolizumab Pegol,32589
National,Cinacalcet Hcl,228377
National,Reslizumab,288
National,C1 Esterase Inhibitor,778
National,Aprepitant,101
National,Ciprofloxacin,2197
National,Ciprofloxacin Hcl,558
National,Ciprofloxacin/Hydrocortisone,9503
National,Ciprofloxacin Hcl/Dexameth,167022
National,Ciprofloxacin Hcl,4845233
National,Ciprofloxacin Hcl/Fluocinolone,335
National,Ciprofloxacin In 5 % Dextrose,2656
National,Ciprofloxacin Hcl/Dexameth,45012
National,Cisplatin,473
National,Citalopram Hydrobromide,7957643
National,Prenatal 48/Iron/Folic Acid/B6,32
National,Isotretinoin,4722
National,Desloratadine,1964
National,Desloratadine/Pseudoephedrine,1955
National,Clarithromycin,222338
National,Clarithromycin,7726
National,Clemastine Fumarate,2522
National,Sod Picosulf/Mag Ox/Citric Ac,27803
National,Clindamycin Phosphate,816
National,Clindamycin Hcl,144
National,Clindamycin Phosphate,195
National,Clindamycin Phosphate,106
National,"Pen Needle, Diabetic",2782
National,Estradiol,31567
National,Estradiol/Levonorgestrel,8502
National,Clindamycin Phosphate,54
National,Clindamycin Phosphate,78
National,Clindamycin Phosphate,242
National,Clindamycin Palmitate Hcl,6811
National,Clindamycin Hcl,2259276
National,Clindamycin Phos/Benzoyl Perox,3901
National,Clindamycin/Tretinoin,346
National,Clindamycin Phosphate,483808
National,Clindamycin Phosphate/D5w,949
National,Clindamycin In 0.9 % Sod Chlor,240
National,Clindamycin Phos/Benzoyl Perox,17614
National,Clindamycin Phosphate,329
National,Amino Acids 4.25 %/Dextrose 5%,21
National,Amino Acids 4.25%/Dextrose 10%,23
National,Amino Acids 5 %/Dextrose 20 %,37
National,Aa 4.25 %/Calcium/Lytes/D5w,13
National,Aa 4.25%/Calcium/Lytes/Dex 10%,33
National,Aa 5 %/Calcium/Lytes/Dext 20 %,165
National,Aa 5%/D15w/Electrolytes,138
National,Parenteral Amino Acid 15% No.5,24124
National,Fat Emulsion/Olive/Soy/Phospho,12973
National,Fluoride (Sodium),5623
National,Clobazam,115875
National,Clobetasol Propionate/Emoll,33718
National,Clobetasol Propionate/Emoll,653
National,Clobetasol Propionate,1566503
National,Clobetasol Propionate,1809
National,Clocortolone Pivalate,1485
National,Clobetasol Propionate,27
National,Clocortolone Pivalate,235
National,Clomiphene Citrate,3015
National,Clomipramine Hcl,126673
National,Clonazepam,9545723
National,Clonidine,489342
National,Clonidine Hcl,3857847
