Prscrbr_Geo_Desc,Gnrc_Name,DY21
National,"Pen Needle, Diabetic",3708
National,"Pen Needle, Diabetic",4564
National,Abacavir Sulfate,30534
National,Abacavir Sulfate/Lamivudine,30248
National,Abacavir/Lamivudine/Zidovudine,118
National,Amphotericin B Lipid Complex,697
National,Aripiprazole,15246
National,Aripiprazole,208282
National,Aripiprazole,31
National,Abiraterone Acetate,199302
National,Paclitaxel Protein-Bound,1200
National,Isotretinoin,88
National,"Isotretinoin, Micronized",31
National,Acamprosate Calcium,43332
National,Clindamycin Phos/Benzoyl Perox,29
National,Acarbose,180723
National,Zafirlukast,521
National,Quinapril Hcl,4302
National,Quinapril/Hydrochlorothiazide,389
National,Isotretinoin,127
National,Acebutolol Hcl,86756
National,Acetaminophen/Caff/Dihydrocod,2525
National,Acetaminophen,124
National,Acetaminophen With Codeine,2763009
National,Acetazolamide,208326
National,Acetazolamide,81956
National,Acetic Acid,58534
National,Acetylcysteine,16666
National,Rabeprazole Sodium,11451
National,Acitretin,41814
National,Tocilizumab,32321
National,Tocilizumab,24046
National,Corticotropin,6667
National,Haemoph B Poly Conj-Tet Tox/Pf,1418
National,Ursodiol,112
National,"Interferon Gamma-1b,recomb.",423
National,Estradiol/Norethindrone Acet,300
National,Risedronate Sodium,2562
National,Pioglitazone Hcl/Metformin Hcl,246
National,Pioglitazone Hcl,1619
National,Ketorolac Tromethamine,195
National,Ketorolac Tromethamine,66
National,Ketorolac Tromethamine/Pf,381
National,Acyclovir,1827051
National,Acyclovir Sodium,199
National,Dapsone,261
National,"Diph,pertuss(Acell),tet Vac/Pf",177846
National,Crizanlizumab-Tmca,510
National,Adapalene,11956
National,Adapalene/Benzoyl Peroxide,1315
National,Brentuximab Vedotin,84
National,Tadalafil,9421
National,Dextroamphetamine/Amphetamine,10667
National,Dextroamphetamine/Amphetamine,26053
National,Adefovir Dipivoxil,3948
National,Riociguat,47875
National,Lixisenatide,116
National,Insulin Lispro,16992
National,Insulin Lispro,31824
National,Epinephrine,991
National,Doxorubicin Hcl,42
National,Fluticasone Propion/Salmeterol,1715121
National,Fluticasone Propion/Salmeterol,570864
National,"Pen Needle, Diabetic",3750
National,"Pen Needle, Diabetic",27375
National,"Syring-Needl,disp,insul,0.3 Ml",2699
National,"Syringe And Needle,insulin,1ml",6069
National,"Syringe-Needle,insulin,0.5 Ml",5984
National,Amphetamine,1041
National,Everolimus,12992
National,Everolimus,324
National,"Insulin Regular, Human",6088
National,Aspirin/Dipyridamole,74
National,Anagrelide Hcl,572
National,Erenumab-Aooe,330765
National,Fluticasone Propion/Salmeterol,533
National,Fluticasone Propion/Salmeterol,645
National,Fremanezumab-Vfrm,34240
National,Fremanezumab-Vfrm,35508
National,Bacitracin/Polymyxin B Sulfate,317
National,Trifarotene,241
National,Lidocaine Hcl/Pf,44
National,Fosnetupitant/Palonosetron,226
National,Netupitant/Palonosetron Hcl,343
National,Hydrocortisone,987
National,Hydrocortisone,213
National,Albendazole,8502
National,Albumin Human,53
National,Albumin Human,35
National,Albuterol Sulfate,231334
National,Albuterol Sulfate,12783908
National,Alclometasone Dipropionate,57160
National,Alcohol Antiseptic Pads,184642
National,Alcohol Antiseptic Pads,512800
National,Alcohol Antiseptic Pads,39215
National,Alcohol Antiseptic Pads,138676
National,Alcohol Antiseptic Pads,5718
National,Spironolact/Hydrochlorothiazid,834
National,Spironolactone,2148
National,Imiquimod,67
National,Laronidase,197
National,Alectinib Hcl,8278
National,Alendronate Sodium,7503417
National,Alfuzosin Hcl,820246
National,Pemetrexed Disodium,1555
National,Nitazoxanide,641
National,Aliskiren Hemifumarate,35309
National,Allopurinol,8986978
National,Butalbital/Acetaminophen,38
National,Almotriptan Malate,5410
National,Nedocromil Sodium,858
National,Alogliptin Benzoate,79735
National,Alogliptin Benz/Metformin Hcl,5093
National,Alogliptin Benz/Pioglitazone,2185
National,Lodoxamide Tromethamine,446
National,Estradiol,666
National,Alosetron Hcl,11564
National,Brimonidine Tartrate,589735
National,Alprazolam,11927356
National,Alprazolam,43151
National,Alprazolam,228
National,Alprazolam,6972
National,Alprazolam,22795
National,Loteprednol Etabonate,29347
National,Retapamulin,155
National,Ramipril,6352
National,Levonorgestrel/Ethin.Estradiol,2624
National,Lovastatin,1227
National,Tretinoin,786
National,Brigatinib,1127
National,Ciclesonide,207350
National,Norethindrone-Ethin. Estradiol,6501
National,Tadalafil,3966
National,Estradiol/Norethindrone Acet,3599
National,Amantadine Hcl,475688
National,Glimepiride,2559
National,Zolpidem Tartrate,17496
National,Zolpidem Tartrate,10525
National,Amphotericin B Liposome,693
National,Ambrisentan,55865
National,Amcinonide,390
National,Naratriptan Hcl,464
National,L-Norgest/E.Estradiol-E.Estrad,344
National,Levonorgestrel/Ethin.Estradiol,606
National,Aminocaproic Acid,173
National,Amikacin Sulfate,11338
National,Amiloride Hcl,102221
National,Amiloride/Hydrochlorothiazide,45053
National,Aminocaproic Acid,2277
National,Amiodarone Hcl,2419280
National,Lubiprostone,208452
National,Amitriptyline Hcl,3690839
National,Amlodipine Besylate,44191695
National,Amlodipine Besylate/Benazepril,1683486
National,Amlodipine/Atorvastatin,96167
National,Amlodipine Bes/Olmesartan Med,196523
National,Amlodipine Besylate/Valsartan,290552
National,Amlodipine/Valsartan/Hcthiazid,12123
National,Ammonium Lactate,1077017
National,Isotretinoin,2264
National,Casimersen,66
National,Amoxapine,2271
National,Amoxicillin,7696447
National,Amoxicillin/Potassium Clav,12980
National,Amoxicillin/Potassium Clav,4759953
National,Amphetamine Sulfate,656
National,Amphotericin B,379
National,Ampicillin Sodium,21370
National,Ampicillin Trihydrate,99490
National,Ampicillin Sodium/Sulbactam Na,15983
National,Dalfampridine,12987
National,Cyclobenzaprine Hcl,370
National,Minocycline Hcl,687
National,Clomipramine Hcl,341
National,Anagrelide Hcl,27252
National,Hydrocortisone/Pramoxine,55
National,Hyoscyamine Sulfate,175
National,Anastrozole,1537272
National,Testosterone,23882
National,Testosterone,9537
National,Drospirenone/Estradiol,915
National,Segesterone Ac/Ethin Estradiol,59
National,Umeclidinium Brm/Vilanterol Tr,1592801
National,"Fenofibrate,micronized",809
National,Meclizine Hcl,39
National,Hydrocortisone Acetate,51
National,Hydrocortisone,139
National,Diflorasone Diacet/Emollient,222
National,Insulin Glulisine,3666
National,Insulin Glulisine,10376
National,Bupropion Hbr,3477
National,Apomorphine Hcl,3688
National,Apraclonidine Hcl,4060
National,Aprepitant,9227
National,Desogestrel-Ethinyl Estradiol,7004
National,Mesalamine,17892
National,Methylphenidate Hcl,271
National,Eslicarbazepine Acetate,86168
National,Tipranavir,840
National,Alpha-1-Proteinase Inhibitor,3811
National,Norethindrone-Ethin. Estradiol,622
National,Darbepoetin Alfa In Polysorbat,22266
National,Leflunomide,395
National,Tazarotene,242
National,Rilonacept,187
National,Minocycline Hcl Microspheres,1354
National,Arformoterol Tartrate,3655
National,Donepezil Hcl,2454
National,Amikacin Liposomal/Neb.Accessr,8063
National,Anastrozole,1853
National,Aripiprazole,3405458
National,Aripiprazole,6248
National,Aripiprazole Lauroxil,82069
National,"Aripiprazole Lauroxil,submicr.",1437
National,Fondaparinux Sodium,109
National,Armodafinil,106014
National,Fluticasone Propionate,156
National,"Thyroid,pork",293758
National,Fluticasone Furoate,295676
National,Exemestane,1050
National,Diclofenac Sodium/Misoprostol,369
National,Diclofenac Sodium/Misoprostol,1072
National,Codeine/Butalbital/Asa/Caffein,14649
National,Mesalamine,2995
National,Codeine/Butalbital/Asa/Caffein,9603
National,Asenapine Maleate,55528
National,L-Norgest/E.Estradiol-E.Estrad,1148
National,Mometasone Furoate,51191
National,Mometasone Furoate,30726
National,Aspirin/Dipyridamole,163433
National,"Syringe,needle,insuln,safe,1ml",23
National,"Syringe,needle,insuln,sf 0.5ml",42
National,"Pen Needle, Diabetic, Safety",268
National,Tacrolimus,652
National,Candesartan Cilexetil,4650
National,Candesartan/Hydrochlorothiazid,1588
National,Atazanavir Sulfate,21569
National,Risedronate Sodium,912
National,Atenolol,7679235
National,Atenolol/Chlorthalidone,425724
National,Lorazepam,6718
National,Atomoxetine Hcl,213176
National,Atorvastatin Calcium,61087156
National,Atovaquone,62458
National,Atovaquone/Proguanil Hcl,14953
National,Tretinoin,21
National,Efavirenz/Emtricit/Tenofovr Df,12923
National,Atropine Sulfate,164179
National,Ipratropium Bromide,244720
National,Teriflunomide,75326
National,Levonorgestrel/Ethin.Estradiol,224
National,Amoxicillin/Potassium Clav,13
National,Norethindrone Ac-Eth Estradiol,1061
National,Norethindrone-E.Estradiol-Iron,1217
National,Norethindrone-E.Estradiol-Iron,7892
National,Ferric Citrate,129702
National,Deutetrabenazine,111650
National,"Pen Needle,dual Safety,diabetc",221175
National,"Pen Needle, Diabetic, Safety",75
National,Epinephrine,558
National,Irbesartan/Hydrochlorothiazide,2314
National,Rosiglitazone Maleate,657
National,Irbesartan,7858
National,Bevacizumab,3153
National,Testosterone Undecanoate,682
National,Levonorgestrel/Ethin.Estradiol,3622
National,Tretinoin,36
National,Dutasteride,7469
National,Interferon Beta-1a,25035
National,Interferon Beta-1a,31034
National,Infliximab-Axxq,59
National,Ceftazidime/Avibactam,3749
National,Norethindrone Acetate,22
National,Avapritinib,420
National,Azacitidine,972
National,Aztreonam,697
National,Azathioprine,1795
National,Azithromycin,11810
National,Azathioprine,406701
National,Azelaic Acid,51838
National,Azelastine Hcl,2280811
National,Azelastine/Fluticasone,90696
National,Azelaic Acid,2085
National,Prenatal 147/Iron/Folic Acid,773
National,Rasagiline Mesylate,1832
National,Azithromycin,5979655
National,Brinzolamide,180119
National,Amlodipine Bes/Olmesartan Med,6701
National,Serdexmethylphen/Dexmethylphen,12
National,Aztreonam,4538
National,Sulfasalazine,1982
National,Desog-E.Estradiol/E.Estradiol,646
National,Alcohol Antiseptic Pads,1699
National,Bacitracin,39230
National,Bacitracin/Polymyxin B Sulfate,36518
National,Baclofen,4828742
National,Sulfamethoxazole/Trimethoprim,17
National,Sulfamethoxazole/Trimethoprim,208
National,Monomethyl Fumarate,112
National,Levonorgest/Eth.Estradiol/Iron,108
National,Balsalazide Disodium,119126
National,Erdafitinib,800
National,Norethindrone-Ethin. Estradiol,1472
National,Gauze Bandage,534
National,Rufinamide,20366
National,Glucagon,27990
National,Entecavir,1922
National,"Insulin Glargine,hum.Rec.Anlog",1734574
National,Avelumab,119
National,Delafloxacin Meglumine,657
National,Bcg Live,668
National,"Syringe And Needle,insulin,1ml",31
National,"Syringe-Needle,insulin,0.5 Ml",35
National,"Syring-Needl,disp,insul,0.3 Ml",508
National,"Syringe And Needle,insulin,1ml",506
National,"Syringe-Needle,insulin,0.5 Ml",1399
National,"Syring-Needl,disp,insul,0.3 Ml",98
National,"Syringe-Needle,insulin,0.5 Ml",388
National,Beclomethasone Dipropionate,4110
National,Desog-E.Estradiol/E.Estradiol,20
National,Buprenorphine Hcl,187452
National,Opium/Belladonna Alkaloids,487
National,Suvorexant,262681
National,Benazepril Hcl,2403786
National,Benazepril/Hydrochlorothiazide,292711
National,Bendamustine Hcl,321
National,Olmesartan Medoxomil,31192
National,Olmesartan/Hydrochlorothiazide,17106
National,Belimumab,29288
National,Salicylic Acid,59
National,Dicyclomine Hcl,31
National,Clindamycin Phos/Benzoyl Perox,76
National,Erythromycin/Benzoyl Peroxide,19
National,Benzonatate,51325
National,Benztropine Mesylate,2127173
National,Brolucizumab-Dbll,234
National,Bepotastine Besilate,19574
National,Bepotastine Besilate,53202
National,C1 Esterase Inhibitor,428
National,Besifloxacin Hcl,89677
National,Povidone-Iodine,62
National,Betamethasone Dipropionate,7465
National,Betamethasone/Propylene Glyc,421943
National,Betamethasone Dipropionate,756560
National,"Betamethasone Acetate,sod Phos",347
National,Betamethasone Valerate,271441
National,Sotalol Hcl,368
National,Sotalol Hcl,215
National,Interferon Beta-1b,14920
National,Betaxolol Hcl,30788
National,Bethanechol Chloride,206347
National,Tobramycin,26
National,Timolol,30127
National,Betaxolol Hcl,12541
National,Glycopyrrolate/Formoterol Fum,150005
National,Bexarotene,4152
National,"Meningococcal B Vaccine,4-Comp",2249
National,Drospir/Eth Estra/Levomefol Ca,53
National,Bicalutamide,251515
National,Pen G Benz/Pen G Procaine,84
National,Penicillin G Benzathine,5399
National,Isosorbide Dinit/Hydralazine,39143
National,Estradiol/Progesterone,1151
National,Bictegrav/Emtricit/Tenofov Ala,593834
National,Bimatoprost,34473
National,Alendronate Sodium,1944
National,Bisoprolol Fumarate,894340
National,Bisoprolol/Hydrochlorothiazide,646145
National,Immun Glob G(Igg)/Gly/Iga Ov50,123
National,Bleomycin Sulfate,36
National,Sulfacetamide Sodium,39
National,Sulfacetamide/Prednisolone,1204
National,Sulfacetamide/Prednisolone,15
National,Blinatumomab,82
National,Norethindrone-E.Estradiol-Iron,1191
National,Norethindrone-E.Estradiol-Iron,8103
National,Ibandronate Sodium,1136
National,Doxylamine Succinate/Vit B6,75
National,"Diphth,pertuss(Acell),tet Vac",520674
National,Bortezomib,564
National,Bosentan,8661
National,Bosutinib,11031
National,Onabotulinumtoxina,50715
National,Encorafenib,7035
National,Fluticasone/Vilanterol,3063967
National,Budesonide/Glycopyr/Formoterol,240710
National,Norethindrone-Ethin. Estradiol,652
National,Ticagrelor,954027
National,Brimonidine Tartrate,1802345
National,Brinzolamide,97478
National,Paroxetine Mesylate,252
National,Brivaracetam,83745
National,Bromfenac Sodium,29791
National,Bromocriptine Mesylate,40374
National,Brompheniramine/Pseudoephed/Dm,332
National,Bromfenac Sodium,33584
National,Arformoterol Tartrate,7208
National,Zanubrutinib,6477
National,Halobetasol Propionate,612
National,Balanced Salt Irrig Soln No.2,298
National,Budesonide,120562
National,Budesonide,131464
National,Budesonide,165468
National,Budesonide,39023
National,Budesonide/Formoterol Fumarate,505204
National,Bumetanide,1990254
National,Buprenorphine Hcl/Naloxone Hcl,13
National,Butalbital/Acetaminophen,27
National,Sodium Phenylbutyrate,153
National,Bupivacaine Hcl,186
National,Bupivacaine Hcl/Pf,654
National,Buprenorphine Hcl,252
National,Buprenorphine,264550
National,Buprenorphine Hcl,273843
National,Buprenorphine Hcl/Naloxone Hcl,1305396
National,Bupropion Hcl,658256
National,Bupropion Hcl,2275463
National,Bupropion Hcl,5273416
National,Buspirone Hcl,5974256
National,Butalbit/Acetamin/Caff/Codeine,43879
National,Codeine/Butalbital/Asa/Caffein,4169
National,Butalbital/Acetaminophen,17093
National,Butalb/Acetaminophen/Caffeine,778854
National,Butalbital/Aspirin/Caffeine,59172
National,Butorphanol Tartrate,30695
National,Buprenorphine,41916
National,Exenatide Microspheres,316105
National,Exenatide Microspheres,54849
National,Exenatide,28345
National,Octreotide Acetate,180
National,Nebivolol Hcl,1282589
National,Pnv 11/Iron Fum/Folic Acid/Om3,86
National,Cabotegravir/Rilpivirine,2519
National,Cabergoline,74806
National,Caplacizumab-Yhdp,65
National,Cabozantinib S-Malate,30266
National,Amlodipine/Atorvastatin,1253
National,Verapamil Hcl,1466
National,Calcipotriene,144538
National,Calcipotriene/Betamethasone,3369
National,Calcipotriene/Betamethasone,7487
National,"Calcitonin,salmon,synthetic",187673
National,Calcitriol,1133394
National,Calcium Acetate,441466
National,Calcium Gluconate,580
National,Acalabrutinib,56740
National,Diclofenac Potassium,5665
National,Norethindrone,1272
National,Irinotecan Hcl,21
National,L-Norgest/E.Estradiol-E.Estrad,699
National,L-Norgest/E.Estradiol-E.Estrad,536
National,Mesalamine,1850
National,Caspofungin Acetate,29
National,Candesartan Cilexetil,457860
National,Candesartan/Hydrochlorothiazid,131179
National,Capecitabine,343
National,Fluocinolone Acetonide,12
National,Lumateperone Tosylate,33545
National,Vandetanib,467
National,Captopril,99069
National,Captopril/Hydrochlorothiazide,14
National,Fluorouracil,42
National,Sucralfate,15947
National,Carglumic Acid,40
National,Carbamazepine,871574
National,Carbamazepine,506826
National,Carbamazepine,14147
National,Carbidopa,17364
National,Carbidopa/Levodopa,2644888
National,Carbidopa/Levodopa,519977
National,Carbidopa/Levodopa/Entacapone,63570
National,Carbinoxamine Maleate,2554
National,Carboplatin,2856
National,Diltiazem Hcl,277
National,Diltiazem Hcl,1394
National,Diltiazem Hcl,18976
National,Doxazosin Mesylate,1813
National,Doxazosin Mesylate,2461
National,"Pen Needle, Diabetic",1430
National,Alcohol Antiseptic Pads,790
National,"Pen Needle, Diabetic",65
National,Carisoprodol,404311
National,Carisoprodol/Aspirin/Codeine,13
National,Levocarnitine,1643
National,Levocarnitine (With Sugar),168
National,Levocarnitine,57
National,Spironolactone,491
National,Carteolol Hcl,23355
National,Diltiazem Hcl,469761
National,Carvedilol,14725660
National,Carvedilol Phosphate,75832
National,Bicalutamide,186
National,Caspofungin Acetate,3476
National,Clonidine Hcl,32
National,Clonidine,705
National,Clonidine,1177
National,Clonidine,1642
National,Alprostadil,16
National,Aztreonam Lysine,3087
National,Cefaclor,9311
National,Cefaclor,101
National,Cefadroxil,291000
National,Cefazolin Sodium,69092
National,"Cefazolin Sodium/Dextrose,iso",2244
National,Cefdinir,1483639
National,Cefepime In Iso-Osm Dextrose,3613
National,Cefepime Hcl,87175
National,Cefepime Hcl In Dextrose 5 %,1478
National,Cefixime,11504
National,Cefotetan Disodium,59
National,Cefoxitin Sodium,2040
National,"Cefoxitin Sodium/Dextrose,iso",89
National,Cefpodoxime Proxetil,246482
National,Cefprozil,25171
National,Ceftazidime,13483
National,Ceftazidime In Dextrose5%water,169
National,Ceftriaxone In Is-Osm Dextrose,8233
National,Ceftriaxone Sodium,295424
National,Cefuroxime Axetil,878858
National,Cefuroxime Sodium,168
National,Celecoxib,19318
National,Celecoxib,3964277
National,"Betamethasone Acetate,sod Phos",22
National,Citalopram Hydrobromide,5482
National,Mycophenolate Mofetil,3098
National,Methsuximide,2376
National,Mupirocin,11
National,"Iron Fum/Folic Acid/Mv,min 15",12
National,Cephalexin,6443400
National,Cyclosporine,69483
National,"Bolus Insulin Pump, 200 Unit",528
National,Eliglustat Tartrate,1103
National,Fosphenytoin Sodium,87
National,Imiglucerase,481
National,Cetirizine Hcl,21375
National,Cevimeline Hcl,88956
National,Varenicline Tartrate,295053
National,Norethindrone-E.Estradiol-Iron,329
National,Levonorgestrel/Ethin.Estradiol,79
National,Succimer,51
National,Chenodiol,400
National,Chlordiazepoxide Hcl,101972
National,Amitriptyline/Chlordiazepoxide,4107
National,Chlordiazepoxide/Clidinium Br,15254
National,Chlorhexidine Gluconate,2210902
National,Chloroquine Phosphate,3924
National,Chlorpromazine Hcl,263008
National,Chlorthalidone,2566252
National,Chlorzoxazone,66944
National,Cholic Acid,37
National,Cholestyramine (With Sugar),460303
National,Cholestyramine/Aspartame,104602
National,"Chorionic Gonadotropin, Human",596
National,Tadalafil,14306
National,Ciclopirox,122
National,Ciclopirox,578935
National,Ciclopirox Olamine,404613
National,Ciclopirox/Urea/Camph/Men/Euc,27
National,Cidofovir,137
National,Cilostazol,802723
National,Ciprofloxacin Hcl,5386
National,Lamivudine/Tenofovir Disop Fum,199
National,Cimetidine,160653
National,Cimetidine Hcl,1040
National,Certolizumab Pegol,34528
National,Cinacalcet Hcl,219727
National,Reslizumab,306
National,C1 Esterase Inhibitor,599
National,Aprepitant,152
National,Ciprofloxacin,2268
National,Ciprofloxacin Hcl,461
National,Ciprofloxacin/Hydrocortisone,8951
National,Ciprofloxacin Hcl/Dexameth,25418
National,Ciprofloxacin Hcl,4743497
National,Ciprofloxacin Hcl/Fluocinolone,346
National,Ciprofloxacin In 5 % Dextrose,2238
National,Ciprofloxacin Hcl/Dexameth,203802
National,Cisplatin,563
National,Citalopram Hydrobromide,7471619
National,Prenatal 48/Iron/Folic Acid/B6,31
National,Isotretinoin,4229
National,Desloratadine,1538
National,Desloratadine/Pseudoephedrine,1626
National,Clarithromycin,202434
National,Clarithromycin,5536
National,Clemastine Fumarate,2258
National,Sod Picosulf/Mag Ox/Citric Ac,74702
National,Clindamycin Phosphate,692
National,Clindamycin Hcl,90
National,Clindamycin Phosphate,138
National,Clindamycin Phosphate,105
National,"Pen Needle, Diabetic",2951
National,Estradiol,29109
National,Estradiol/Levonorgestrel,8258
National,Clindamycin Phosphate,164
National,Clindamycin Phosphate,133
National,Clindamycin Phosphate,243
National,Clindamycin Palmitate Hcl,6958
National,Clindamycin Hcl,2359864
National,Clindamycin Phos/Benzoyl Perox,4283
National,Clindamycin/Tretinoin,308
National,Clindamycin Phosphate,505470
National,Clindamycin Phosphate/D5w,729
National,Clindamycin In 0.9 % Sod Chlor,182
National,Clindamycin Phos/Benzoyl Perox,18578
National,Clindamycin Phosphate,322
National,Amino Acid 8 % In D14w,95
National,Amino Acids 4.25 %/Dextrose 5%,28
National,Amino Acids 4.25%/Dextrose 10%,39
National,Amino Acids 5 %/Dextrose 15 %,26
National,Amino Acids 5 %/Dextrose 20 %,22
National,Aa 5 %/Calcium/Lytes/Dext 20 %,107
National,Aa 5%/D15w/Electrolytes,41
National,Amino Ac 8 %/D14w/Electrolytes,30
National,Parenteral Amino Acid 15% No.5,24209
National,Fat Emulsion/Olive/Soy/Phospho,34236
National,Fluoride (Sodium),7140
National,Clobazam,128022
National,Clobetasol Propionate/Emoll,38308
National,Clobetasol Propionate/Emoll,611
National,Clobetasol Propionate,1875100
National,Clobetasol Propionate,959
National,Clocortolone Pivalate,1352
National,Clobetasol Propionate,27
National,Clocortolone Pivalate,258
National,Clomiphene Citrate,3050
National,Clomipramine Hcl,121671
National,Clonazepam,9251496
National,Clonidine,469496
National,Clonidine Hcl,3689219
National,Clonidine Hcl,8621
National,Clopidogrel Bisulfate,12927948
National,Clorazepate Dipotassium,180887
National,Clotrimazole,883535
National,Clotrimazole/Betamethasone Dip,1611886
National,Clozapine,1160726
National,Clozapine,41684
National,Clozapine,10096
National,Coagulation Factor X,12
National,Artemether/Lumefantrine,286
National,Codeine Sulfate,16556
National,Balsalazide Disodium,93
National,Colchicine,1123752
National,Colchicine,38241
National,Colesevelam Hcl,234638
National,Colestipol Hcl,1662
National,Colestipol Hcl,401624
National,Colistin (Colistimethate Na),4328
National,Colistin (Colistimethate Na),45
National,"Peg3350/Sod Sulf,bicarb,cl/Kcl",23
National,Brimonidine Tartrate/Timolol,1166679
National,Estradiol/Norethindrone Acet,10994
National,Ipratropium/Albuterol Sulfate,838469
National,Lamivudine/Zidovudine,253
National,Cabozantinib S-Malate,343
National,"Syring-Needl,disp,insul,0.3 Ml",6880
National,"Syringe And Needle,insulin,1ml",31234
National,"Syringe-Needle,insulin,0.5 Ml",22281
National,"Pen Needle, Diabetic",297054
National,"Pen Needle, Diabetic",1515
National,Emtricita/Rilpivirine/Tenof Df,9259
National,Pnv Cmb 52/Iron/Fa/Omega-3/Dha,139
