Prscrbr_Geo_Desc,Gnrc_Name,DY16
Alabama,0.9 % Sodium Chloride,5208
Alabama,Aa 3.31 %/D9.8w/Fat/Elect #10,50
Alabama,Abacavir Sulfate,768
Alabama,Abacavir Sulfate/Lamivudine,1181
Alabama,Abacavir/Dolutegravir/Lamivudi,2524
Alabama,Abacavir/Lamivudine/Zidovudine,125
Alabama,Abatacept,987
Alabama,Abatacept/Maltose,84
Alabama,Abiraterone Acetate,1474
Alabama,Acamprosate Calcium,275
Alabama,Acarbose,2367
Alabama,Acebutolol Hcl,3815
Alabama,Acetaminophen With Codeine,51232
Alabama,Acetaminophen/Caff/Dihydrocod,278
Alabama,Acetazolamide,4264
Alabama,Acetic Acid,530
Alabama,Acetic Acid/Aluminum Acetate,65
Alabama,Acetylcysteine,190
Alabama,Acitretin,707
Alabama,Aclidinium Bromide,2010
Alabama,Acyclovir,26132
Alabama,Adalimumab,8855
Alabama,Adapalene,71
Alabama,Adapalene/Benzoyl Peroxide,11
Alabama,Adefovir Dipivoxil,12
Alabama,Afatinib Dimaleate,182
Alabama,Albendazole,136
Alabama,Albiglutide,1454
Alabama,Albuterol Sulfate,214338
Alabama,Alcaftadine,234
Alabama,Alclometasone Dipropionate,1154
Alabama,Alcohol Antiseptic Pads,13393
Alabama,Alendronate Sodium,83176
Alabama,Alendronate Sodium/Vitamin D3,58
Alabama,Alfuzosin Hcl,10464
Alabama,Alglucosidase Alfa,13
Alabama,Alirocumab,1616
Alabama,Aliskiren Hemifumarate,2707
Alabama,Aliskiren/Hydrochlorothiazide,867
Alabama,Allopurinol,172002
Alabama,Almotriptan Malate,80
Alabama,Alogliptin Benz/Metformin Hcl,74
Alabama,Alogliptin Benz/Pioglitazone,337
Alabama,Alogliptin Benzoate,220
Alabama,Alosetron Hcl,233
Alabama,Alpha-1-Proteinase Inhibitor,956
Alabama,Alprazolam,388123
Alabama,Amantadine Hcl,7231
Alabama,Ambrisentan,2133
Alabama,Amcinonide,32
Alabama,Amikacin Sulfate,272
Alabama,Amiloride Hcl,1268
Alabama,Amiloride/Hydrochlorothiazide,1695
Alabama,Aminocaproic Acid,28
Alabama,Amiodarone Hcl,66931
Alabama,Amitriptyline Hcl,95216
Alabama,Amitriptyline/Chlordiazepoxide,1016
Alabama,Amlodipine Bes/Olmesartan Med,3695
Alabama,Amlodipine Besylate,743034
Alabama,Amlodipine Besylate/Benazepril,68089
Alabama,Amlodipine/Atorvastatin,2368
Alabama,Amlodipine/Valsartan,11925
Alabama,Amlodipine/Valsartan/Hcthiazid,4303
Alabama,Ammonium Lactate,3991
Alabama,Amoxapine,373
Alabama,Amoxicillin,130241
Alabama,Amoxicillin/Potassium Clav,81169
Alabama,Amphetamine Sulfate,86
Alabama,Amphotericin B,15
Alabama,Ampicillin Sodium,157
Alabama,Ampicillin Sodium/Sulbactam Na,112
Alabama,Ampicillin Trihydrate,3832
Alabama,Anagrelide Hcl,910
Alabama,Anakinra,110
Alabama,Anastrozole,18437
Alabama,Apixaban,96282
Alabama,Apomorphine Hcl,37
Alabama,Apraclonidine Hcl,65
Alabama,Apremilast,1067
Alabama,Aprepitant,24
Alabama,Arformoterol Tartrate,305
Alabama,Aripiprazole,45963
Alabama,Aripiprazole Lauroxil,398
Alabama,Armodafinil,4331
Alabama,Asenapine Maleate,4145
Alabama,Aspirin/Dipyridamole,10114
Alabama,Atazanavir Sulfate,953
Alabama,Atazanavir Sulfate/Cobicistat,192
Alabama,Atenolol,185918
Alabama,Atenolol/Chlorthalidone,15807
Alabama,Atomoxetine Hcl,1581
Alabama,Atorvastatin Calcium,671260
Alabama,Atovaquone,203
Alabama,Atovaquone/Proguanil Hcl,251
Alabama,Atropine Sulfate,1522
Alabama,Axitinib,79
Alabama,Azathioprine,8947
Alabama,Azelaic Acid,563
Alabama,Azelastine Hcl,26611
