Prscrbr_Geo_Desc,Gnrc_Name,DY13,DY14,DY15,DY16,DY17,DY18,DY19,DY20,DY21
Alabama,0.9 % Sodium Chloride,4066,4174,4417,5208,"4,750",4486,5304,7625,7517
Alabama,Abacavir Sulfate,716,759,860,768,870,911,828,828,611
Alabama,Abacavir Sulfate/Lamivudine,2040,2028,1578,1181,662231,671,529,364,309
Alabama,Abatacept,557,682,869,987,797170,1164,1219,1268,1515
Alabama,Abatacept/Maltose,107,83,87,84,109,149,190,129,159
Alabama,Abiraterone Acetate,1008,1500,1342,1474,"1,307",1905,2129,2093,2045
Alabama,Acamprosate Calcium,282,213,227,275,280,313,414,416,434
Alabama,Acarbose,3183,2936,2582,2367,"2,183",2240,2563,3114,3278
Alabama,Acebutolol Hcl,3937,3799,3887,3815,"3,606",3240,3090,2893,2718
Alabama,Acetaminophen With Codeine,42415,41969,52836,51232,"5,049,613",50081,47703,46742,43128
Alabama,Acetazolamide,4451,4434,4379,4264,"4,098",4100,4124,3892,3927
Alabama,Acetic Acid,478,519,557,530,490,503,469,445,416
Alabama,Acetylcysteine,65,152,253,190,253,231,376,372,209
Alabama,Acitretin,660,726,609,707,69211,763,738,708,680
Alabama,Aclidinium Bromide,1474,3003,4191,2010,"1,155",760,488,163,142
Alabama,Acyclovir,24747,24963,25646,26132,"25,797,243",26232,25944,26288,25787
Alabama,Adalimumab,6570,7384,7840,8855,"159,576,716,181",10262,11109,11097,12333
Alabama,Adapalene,78,82,55,71,74,94,65,67,88
Alabama,Albendazole,101,138,117,136,102,272,145,112,155
Alabama,Albuterol Sulfate,205653,209296,225028,214338,"8,2371,13,1523,8891,90495,951",230586,237084,274589,293866
Alabama,Alcaftadine,612,596,518,234,184,116,93,65,51
Alabama,Alclometasone Dipropionate,871,840,930,1154,"1,269",1417,1612,1253,1304
Alabama,Alcohol Antiseptic Pads,5874,8156,10815,13393,"6,126,441,374,197,330,000",14938,15301,13800,16384
Alabama,Alendronate Sodium,97724,89256,85759,83176,"812,394,923",78616,78870,78854,82153
Alabama,Alfuzosin Hcl,8120,8844,9630,10464,"1,093,313",11304,11121,10946,11770
Alabama,Aliskiren Hemifumarate,7095,4994,3815,2707,"1,685",1382,1063,883,789
Alabama,Aliskiren/Hydrochlorothiazide,1955,1480,1153,867,593,482,387,278,278
Alabama,Allopurinol,168747,168504,171198,172002,"1,69,62715",167773,166685,168060,165319
Alabama,Almotriptan Malate,99,107,151,80,59,73,75,71,82
Alabama,Alogliptin Benz/Metformin Hcl,13,76,111,74,3719,30,67,30,28
Alabama,Alogliptin Benzoate,24,129,241,220,5942,125,252,531,401
Alabama,Alosetron Hcl,231,241,156,233,238,219,284,252,237
Alabama,Alpha-1-Proteinase Inhibitor,554,660,828,956,9295684147,1092,1201,1192,1289
Alabama,Alprazolam,361518,382781,394572,388123,"3,44,477813245255260",327386,289121,272606,258001
Alabama,Amantadine Hcl,7287,7266,6934,7231,"7,463",7636,7706,7670,7341
Alabama,Ambrisentan,1712,1869,1977,2133,"2,110",1823,1864,1916,1837
Alabama,Amikacin Sulfate,194,198,263,272,321,451,366,422,350
Alabama,Amiloride Hcl,943,1031,1141,1268,"1,302",1272,1148,1153,1180
Alabama,Amiloride/Hydrochlorothiazide,2308,2094,1908,1695,"1,484",1239,1036,909,819
Alabama,Aminocaproic Acid,97,117,92,28,32,50,40,35,35
Alabama,Amiodarone Hcl,71237,70380,68732,66931,"63,106,867",63421,61082,60339,59841
Alabama,Amitriptyline Hcl,122245,109079,100162,95216,"92,951",88572,86186,91038,90915
Alabama,Amlodipine Bes/Olmesartan Med,6176,6114,5049,3695,"2,414,211",2487,2882,2710,2962
Alabama,Amlodipine Besylate,719243,718704,737280,743034,"7,38,190493",749458,762315,786082,800939
Alabama,Amlodipine Besylate/Benazepril,91011,81175,72556,68089,"62,642,175",56674,53311,50738,50208
Alabama,Amlodipine/Atorvastatin,2751,2603,2515,2368,"187,050",1548,1772,1845,1822
Alabama,Amlodipine/Valsartan/Hcthiazid,5748,5459,4563,4303,"373,741",2682,1716,1712,376
Alabama,Ammonium Lactate,3707,3625,3870,3991,"3,802",4124,4717,4734,5129
Alabama,Amoxapine,654,608,466,373,282,76,57,77,28
Alabama,Amoxicillin,113374,118916,126841,130241,"1,37,665",140654,144598,129558,140034
