Prscrbr_Geo_Desc,Gnrc_Name,Tot_Clms
Alabama,0.9 % Sodium Chloride,7625
Alabama,Aa 4.25%/Calcium/Lytes/Dex 10%,11
Alabama,Aa 5%/D15w/Electrolytes,25
Alabama,Abacavir Sulfate,828
Alabama,Abacavir Sulfate/Lamivudine,364
Alabama,Abacavir/Dolutegravir/Lamivudi,2819
Alabama,Abacavir/Lamivudine/Zidovudine,19
Alabama,Abaloparatide,827
Alabama,Abatacept,1268
Alabama,Abatacept/Maltose,129
Alabama,Abemaciclib,352
Alabama,"Abiraterone Acet,submicronized",86
Alabama,Abiraterone Acetate,2093
Alabama,Acalabrutinib,468
Alabama,Acamprosate Calcium,416
Alabama,Acarbose,3114
Alabama,Acebutolol Hcl,2893
Alabama,Acetaminophen With Codeine,46742
Alabama,Acetaminophen/Caff/Dihydrocod,337
Alabama,Acetazolamide,3892
Alabama,Acetic Acid,445
Alabama,Acetohydroxamic Acid,13
Alabama,Acetylcysteine,372
Alabama,Acitretin,708
Alabama,Aclidinium Bromide,163
Alabama,Acyclovir,26288
Alabama,Adalimumab,11097
Alabama,Adapalene,67
Alabama,Adapalene/Benzoyl Peroxide,11
Alabama,Adefovir Dipivoxil,22
Alabama,Afatinib Dimaleate,75
Alabama,Agalsidase Beta,26
Alabama,Albendazole,112
Alabama,Albuterol Sulfate,274589
Alabama,Alcaftadine,65
Alabama,Alclometasone Dipropionate,1253
Alabama,Alcohol Antiseptic Pads,13800
Alabama,Alectinib Hcl,80
Alabama,Alendronate Sodium,78854
Alabama,Alendronate Sodium/Vitamin D3,18
Alabama,Alfuzosin Hcl,10946
Alabama,Alirocumab,4134
Alabama,Aliskiren Hemifumarate,883
Alabama,Aliskiren/Hydrochlorothiazide,278
Alabama,Allopurinol,168060
Alabama,Almotriptan Malate,71
Alabama,Alogliptin Benz/Metformin Hcl,30
Alabama,Alogliptin Benz/Pioglitazone,76
Alabama,Alogliptin Benzoate,531
Alabama,Alosetron Hcl,252
Alabama,Alpelisib,121
Alabama,Alpha-1-Proteinase Inhibitor,1192
Alabama,Alprazolam,272606
Alabama,Amantadine Hcl,7670
Alabama,Ambrisentan,1916
Alabama,Amifampridine Phosphate,13
Alabama,Amikacin Liposomal/Neb.Accessr,149
Alabama,Amikacin Sulfate,422
Alabama,Amiloride Hcl,1153
Alabama,Amiloride/Hydrochlorothiazide,909
Alabama,Aminocaproic Acid,35
Alabama,Amiodarone Hcl,60339
Alabama,Amitriptyline Hcl,91038
Alabama,Amitriptyline/Chlordiazepoxide,200
Alabama,Amlodipine Benzoate,21
Alabama,Amlodipine Bes/Olmesartan Med,2710
Alabama,Amlodipine Besylate,786082
Alabama,Amlodipine Besylate/Benazepril,50738
Alabama,Amlodipine Besylate/Valsartan,7315
Alabama,Amlodipine/Atorvastatin,1845
Alabama,Amlodipine/Valsartan/Hcthiazid,1712
Alabama,Ammonium Lactate,4734
Alabama,Amoxapine,77
Alabama,Amoxicillin,129558
Alabama,Amoxicillin/Potassium Clav,84563
Alabama,Amphetamine,16
Alabama,Amphetamine Sulfate,40
Alabama,Ampicillin Sodium,189
Alabama,Ampicillin Sodium/Sulbactam Na,153
Alabama,Ampicillin Trihydrate,2339
Alabama,Anagrelide Hcl,573
Alabama,Anakinra,100
Alabama,Anastrozole,17729
Alabama,Apalutamide,902
Alabama,Apixaban,286323
Alabama,Apomorphine Hcl,73
Alabama,Apraclonidine Hcl,56
Alabama,Apremilast,2111
Alabama,Aprepitant,18
Alabama,Arformoterol Tartrate,112
Alabama,Aripiprazole,58034
Alabama,Aripiprazole Lauroxil,1708
Alabama,"Aripiprazole Lauroxil,submicr.",24
Alabama,Armodafinil,3501
Alabama,Asenapine Maleate,2681
Alabama,Asfotase Alfa,13
Alabama,Aspirin/Dipyridamole,4267
Alabama,Atazanavir Sulfate,250
Alabama,Atazanavir Sulfate/Cobicistat,135
Alabama,Atenolol,120738
Alabama,Atenolol/Chlorthalidone,10767
Alabama,Atezolizumab,18
Alabama,Atomoxetine Hcl,2663
Alabama,Atorvastatin Calcium,837843
Alabama,Atovaquone,314
Alabama,Atovaquone/Proguanil Hcl,103
Alabama,Atropine Sulfate,2159
Alabama,Avatrombopag Maleate,41
Alabama,Axitinib,245
Alabama,Azathioprine,8109
Alabama,Azelaic Acid,719
Alabama,Azelastine Hcl,39918
Alabama,Azelastine/Fluticasone,931
Alabama,Azilsartan Med/Chlorthalidone,1310
Alabama,Azilsartan Medoxomil,1114
Alabama,Azithromycin,160369
Alabama,Aztreonam,125
Alabama,Aztreonam Lysine,46
Alabama,Bacitracin,597
Alabama,Bacitracin/Polymyxin B Sulfate,535
Alabama,Baclofen,95492
Alabama,Baloxavir Marboxil,1184
Alabama,Balsalazide Disodium,2104
Alabama,Baricitinib,163
Alabama,Bcg Live,11
Alabama,Becaplermin,100
Alabama,Beclomethasone Dipropionate,1569
Alabama,Belatacept,13
